date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
14/12/2019 19:45,nora_sm1,Turki_alalshikh,0,2,0,الحمد لله على سلامتك وماقصرت بس عندي سؤال : متفقين إن #الالعاب_الناريه في الويك اند وماقصرتوا ترسلون لنا رسالة بخصوصها بس هلحين وهالوقت وبكرة مدارس ودوامات وش مناسبتها ؟؟ أرحمونا ترويع تايم مقرر علينا كل يوم !! #معاناه_حي_حطين ,,,,1.21E+18,https://twitter.com/nora_sm1/status/1205936747823161344
06/12/2019 23:12,eman_0c,,0,1,1,#سمرات_موسم_الرياض #معاناه_سكان_حطين بعد منتصف الليل وصوت الموسيقى الصادر من البوليفارد طاغي على أجواء المنزل أيعقل ذلك؟ من حقنا الهدوء؟ أعتزلنا في الجو الجميل الخروج إلى حديقة المنزل بسبب ذلك، وحتى داخل البيت والنوافذ مغلقة ازعاج؟؟,,,,1.20E+18,https://twitter.com/eman_0c/status/1203089984263278593
06/12/2019 15:48,ReemalMazroue,,0,0,0,يا حلو شوارع الرياض و هي فاضية #معاناة_حي_حطين,,,,1.20E+18,https://twitter.com/ReemalMazroue/status/1202978229025431552
05/12/2019 18:20,Bndr888_,,0,0,0,الله يلعن ابو هالازعاج #البوليفارد #معاناه_سكان_حطين,,,,1.20E+18,https://twitter.com/Bndr888_/status/1202654101080809474
04/12/2019 19:36,n3355na,RiyadhSeason,0,1,2,#معاناه_سكان_حطين لماذا هذا الاهمال بلغوا من يضع الحواجز في الطريق مساء كل يوم ان يزيلها بعداغلاق #البوليفارد عن وسط الطريق لانها تعيق حركت السيارات في الصباح عند الذهاب الى المدارس او العمل خصوصا شارع السليمانية المتجة غرباً الى طريق تركي الاول #موسم_الرياض @eMoroor @Ruh_Rd,,#NAME?,,1.20E+18,https://twitter.com/n3355na/status/1202310845948211202
01/12/2019 21:42,amamad6,,0,0,2,نفس معانات #جامعه_طيبة حطين البنات باخر الدنيا عقارب وافاعي وكلاب مكان لافية اكل ولايطلبو من برا ممنوع يدخل الاكل بالله عليهم وحدة تداوم من قرية لجامعه ينبع من الساعه ٦الصبح الي ٣ العصر وماتطلب لها اكل ولاشي اتقوا الله #معاناة_طالبات_جامعة_نجران,,,,1.20E+18,https://twitter.com/amamad6/status/1201255176323121152
29/11/2019 14:26,Amas1410,Eyaaaad,1,0,1,إذا فيه شخص يفتي لنا سكان حي حطين مع كل فعالية تتعطل مصالحنا.... #معاناه_سكان_حطين ,,,,1.20E+18,https://twitter.com/Amas1410/status/1200420767000907777
22/11/2019 19:02,angeldeams_o,,0,0,0,#ليله_السندباد. #معاناة_سكان_حطين. والله مايصير 3 شهور علي هذا الوضع. ,,,,1.20E+18,https://twitter.com/angeldeams_o/status/1197953437327081472
20/11/2019 22:11,alohi20000,,2,6,4,#معاناة_سكان_حطين ماشاء الله تبارك الله الساعه الاحد ١ فجرا ومايكل جاكسون يردح في البوليفراد ياهووووووه الله يرحم والولديكم شويه ذوق واحترام لاهل الحي فيه مدارس فيه عمل,,,,1.20E+18,https://twitter.com/alohi20000/status/1197276402862743552
19/11/2019 13:01,alaasheg511,,0,0,0,صورة مع التحية أقبلنا على عام دراسي كامل من تحديث الشكوى المستمرة مع معاناة لسنوات مضت ولازلنا نطالب بلدية الحجرة بتهيئة المواقف للمدرسة والصورة تتحدث كلي أمل من رئيس البلدية المكلف النظر في معاناة مدرسة حطين مع تغير أحوال الطقس ,,,,1.20E+18,https://twitter.com/alaasheg511/status/1196775453807136770
15/11/2019 20:26,Reem94s,,0,0,1,إلى متى يوقفون الناس عند بيتنا !! #معاناه_سكان_حطين,,,,1.20E+18,https://twitter.com/Reem94s/status/1195437883273826304
14/11/2019 22:23,SIAlomary,,0,0,0,تكفى حط تذاكر البوليفارد بالف وحول لسكان حطين نصها بدل معاناة @Turki_alalshikh #معاناه_سكان_حطين,,#NAME?,,1.20E+18,https://twitter.com/SIAlomary/status/1195104884149903361
14/11/2019 19:05,Bndr888_,,1,0,0,لي متى وأنا بيتي كل خميس يردح درح ؟؟!! #معاناه_سكان_حطين وين كبارالحي والمحامين ما يشتكون على هالازعاج الوضع لا يطاق,,,,1.20E+18,https://twitter.com/Bndr888_/status/1195055217190088704
08/11/2019 9:55,hnaa2007,,2,2,1,الله ينهي هالفترة على خير عن جد الوضع بالنسبة لنا سكان الحي لا يطاق ، بالأمس ازداد الامر سوءً بتعب ولدي وحاجتنا للهدوء #معاناه_سكان_حطين ,,,,1.19E+18,https://twitter.com/hnaa2007/status/1192742489637163010
08/11/2019 9:43,SsE1j8MeFSuOZY9,abdulrahman,0,0,0,أي نية وأي بلية نظرك لمتبرجة متزينة وقيامك لها وسلامك عليها ومس يدك يدها وتقبيل رأسها ذنب ومعصية وشر متمحض ومتراكب ظلمات فوق بعض من وين توجهها عوجا عيب والله عيب لعلها بوادر وباكر استجابة لدعوة مظلوم #معاناه_سكان_حطين سرت في جوف الليل,,,,1.19E+18,https://twitter.com/SsE1j8MeFSuOZY9/status/1192739383650275328
07/11/2019 23:16,n3355na,KUhp2222,0,1,0,انت ياخالد تشوفة إبداع ونحن سكان #حي_حطين نشوفة إزعاج #معاناه_سكان_حطين,,,,1.19E+18,https://twitter.com/n3355na/status/1192581682962030598
07/11/2019 23:06,n3355na,,0,0,0,الى متى #معاناة_سكان_حطين من بعد العصر الطرق مغلقة وفي الصباح الحواجز في الطرقات مهملة وخطر ع مستخدمي الطريق,,,,1.19E+18,https://twitter.com/n3355na/status/1192579159761072128
